date,meal,food_name,calories (kcal),protein (g),carbohydrate (g),total_fat (g),saturated_fat (g),trans_fat (g),polyunsaturated_fat (g),monounsaturated_fat (g),cholesterol (mg),sodium (mg),total_carbohydrate (g),dietary_fiber (g),net_carbohydrates (g),total_sugars (g),added_sugars (g),calcium (mg),iron (mg),potassium (mg),caffeine (mg),alcohol (g),sugar_alcohol (g),sorbitol (g),mannitol (g),xylitol (g),salt (g)
2026-02-27T00:00:00+1000,Lunch,Lazy Lunch - Tuna,464.0,33.25,52.59,10.53,2.32,,,,,0.0,55.59,3.0,52.59,1.25,,,,,,,,,,,
2026-02-27T00:00:00+1000,Lunch,Matcha Latte,128.0,5.6,8.4,6.16,0.7,,,,,0.0,8.96,0.56,8.4,3.5,,,,,,,,,,,
2026-02-27T00:00:00+1000,Breakfast,Tofu Protein Smoothie,571.0,51.07,27.09,17.57,4.01,0.24,,,,0.03,44.39,17.29,33.04,6.67,0.0,0.0,,0.11,,,,,,,
2026-02-27T00:00:00+1000,Breakfast,Latte,114.0,5.6,8.4,6.16,0.7,,,,,0.0,8.96,0.56,8.4,3.5,,,,,,,,,,,
2026-02-27T00:00:00+1000,Dinner,Average MMC,589.0,44.0,53.0,21.0,,,,,,,53.0,,53.0,,,,,,,,,,,,
2026-01-31T00:00:00+1000,Breakfast,So Good Soy Milk,162.0,8.0,12.0,8.8,1.0,,,,,0.0,12.8,0.8,12.0,5.0,,,,,,,,,,,
2026-01-31T00:00:00+1000,Breakfast,Tofu Protein Smoothie,525.0,49.47,21.61,16.49,3.83,0.24,,,,0.03,37.71,16.09,27.56,6.67,0.0,0.0,,0.07,,,,,,,
2026-01-31T00:00:00+1000,Dinner,Average MMC,589.0,44.0,53.0,21.0,,,,,,,53.0,,53.0,,,,,,,,,,,,
2026-01-31T00:00:00+1000,Lunch,Lazy Lunch - Tuna,478.0,44.88,41.03,10.64,2.41,,0.35,0.15,0.05,0.3,43.28,2.25,41.03,1.95,,0.02,0.0,0.24,0.0,0.0,,,,,
2026-01-10T00:00:00+1000,Breakfast,Soy,65.0,3.2,4.8,3.52,0.4,,,,,0.0,5.12,0.32,4.8,2.0,,0.0,,,,,,,,,
2026-01-10T00:00:00+1000,Breakfast,Tofu Protein Smoothie,510.0,48.42,26.81,15.44,2.83,0.14,,,,0.03,39.51,12.69,30.56,5.67,0.0,0.0,,0.07,,,,,,,
2026-01-10T00:00:00+1000,Dinner,Average MMC,589.0,44.0,53.0,21.0,,,,,,,53.0,,53.0,,,,,,,,,,,,
2026-01-10T00:00:00+1000,Lunch,Caprese Weekend Eggs,427.0,28.25,46.5,12.88,4.18,,,,,0.3,52.8,6.3,46.5,6.42,,0.0,,,,,,,,,
2026-01-05T00:00:00+1000,Breakfast,Tofu Protein Smoothie,510.0,48.42,26.81,15.44,2.83,0.14,,,,0.03,39.51,12.69,30.56,5.67,0.0,0.0,,0.07,,,,,,,
2026-01-05T00:00:00+1000,Breakfast,Soy,65.0,3.2,4.8,3.52,0.4,,,,,0.0,5.12,0.32,4.8,2.0,,0.0,,,,,,,,,
2026-01-04T00:00:00+1000,Lunch,Lazy Lunch - Tuna,478.0,44.88,41.03,10.64,2.41,,0.35,0.15,0.05,0.3,43.28,2.25,41.03,1.95,,0.02,0.0,0.24,0.0,0.0,,,,,
2026-01-04T00:00:00+1000,Lunch,Soy,65.0,3.2,4.8,3.52,0.4,,,,,0.0,5.12,0.32,4.8,2.0,,0.0,,,,,,,,,
2026-01-04T00:00:00+1000,Breakfast,Soy,65.0,3.2,4.8,3.52,0.4,,,,,0.0,5.12,0.32,4.8,2.0,,0.0,,,,,,,,,
2026-01-04T00:00:00+1000,Breakfast,Tofu Protein Smoothie,510.0,48.42,26.81,15.44,2.83,0.14,,,,0.03,39.51,12.69,30.56,5.67,0.0,0.0,,0.07,,,,,,,
2026-01-04T00:00:00+1000,Dinner,Average MMC,589.0,44.0,53.0,21.0,,,,,,,53.0,,53.0,,,,,,,,,,,,
2025-12-30T00:00:00+1000,Lunch,Lunch Salad - Tuna,250.0,19.9,19.4,7.8,2.2,0.06,,,,0.49,23.8,4.4,19.4,9.4,,,,,,,,,,,
2025-12-30T00:00:00+1000,Breakfast,Protein smoothie,581.0,44.57,67.2,13.64,4.97,,0.09,0.04,0.0,0.13,68.2,1.0,67.2,44.22,,0.01,0.0,0.41,0.0,0.0,,,,,
2025-12-29T00:00:00+1000,Breakfast,Gentle Fibre,36.0,1.6,0.0,1.8,1.0,0.0,,,,0.0,1.3,4.1,-2.8,1.0,,,,,,,,,,,
2025-12-29T00:00:00+1000,Breakfast,Silken Tofu,82.0,6.6,0.0,4.5,1.0,,,,,,2.2,3.2,0.0,1.0,,,,,,,,,,,
2025-12-29T00:00:00+1000,Breakfast,Original soy milk,95.0,4.8,8.1,4.8,0.3,,,,,0.0,8.1,0.0,8.1,2.7,,0.0,,,,,,,,,
2025-12-29T00:00:00+1000,Breakfast,Rolled Oats,95.0,3.0,13.5,1.75,,,,,,,16.0,2.5,13.5,,,,,,,,,,,,
2025-12-29T00:00:00+1000,Breakfast,Whey Protein Powder,120.0,25.0,2.0,1.3,,,,,,,2.0,0.0,2.0,,,,,,,,,,,,
2025-12-29T00:00:00+1000,Breakfast,Blueberries,86.0,1.0,17.4,0.5,,,,,,,21.0,3.6,17.4,,,,,,,,,,,,
2025-12-29T00:00:00+1000,Lunch,Cottage Cheese,176.0,28.0,6.0,5.0,,,,,,,6.0,0.0,6.0,,,,,,,,,,,,
2025-12-29T00:00:00+1000,Lunch,Olive Oil,40.0,0.0,0.0,4.5,0.62,,0.47,3.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,
2025-12-29T00:00:00+1000,Lunch,Quinoa,238.0,7.11,29.75,8.07,1.38,,3.94,2.47,0.0,0.32,34.34,4.59,29.75,1.39,,0.03,0.0,0.28,0.0,0.0,,,,,
2025-12-29T00:00:00+1000,Lunch,Salad Greens,35.0,2.0,3.0,0.7,,,,,,,6.0,3.0,3.0,,,,,,,,,,,,
2025-12-29T00:00:00+1000,Lunch,Chickpeas,170.0,8.0,20.0,2.7,,,,,,,27.0,7.0,20.0,,,,,,,,,,,,
2025-12-29T00:00:00+1000,Lunch,Avocado,70.0,0.8,1.0,6.7,,,,,,,3.5,2.5,1.0,,,,,,,,,,,,
2025-12-29T00:00:00+1000,Snacks,Cottage Cheese,176.0,28.0,6.0,5.0,,,,,,,6.0,0.0,6.0,,,,,,,,,,,,
2025-12-29T00:00:00+1000,Snacks,Mixed Berries,30.0,0.5,5.0,0.2,,,,,,,7.0,2.0,5.0,,,,,,,,,,,,
2025-12-29T00:00:00+1000,Dinner,Salmon,300.0,33.0,0.0,18.0,,,,,,,0.0,,0.0,,,,,,,,,,,,
