date,weight_entry (kg),notes
2026-02-27T05:35:54+1000,56.5,
2026-01-31T09:28:46+1000,58.6,
2026-01-14T05:24:23+1000,59.9,
2025-12-29T05:42:43+1000,61.0,
2025-08-29T05:48:09+1000,56.65,
2025-08-22T05:32:19+1000,57.75,
2025-08-08T05:48:47+1000,54.6,
2025-07-25T05:44:23+1000,55.25,
2025-07-17T05:54:25+1000,56.3,
2025-07-10T09:32:28+1000,56.8,
2025-07-06T20:39:54+1000,58.15,
2025-05-30T06:02:21+1000,54.0,
2025-05-16T05:56:06+1000,53.5,
2025-05-09T06:02:29+1000,52.1,
2025-05-09T06:02:15+1000,52.1,
2025-05-09T06:01:14+1000,52.1,
2025-05-02T05:55:38+1000,52.1,
2025-04-25T10:56:34+1000,53.15,
2025-04-18T06:08:49+1000,51.7,
2025-04-11T05:55:08+1000,52.25,
2025-04-04T06:04:46+1000,51.95,
2025-03-28T05:57:01+1000,52.35,
2025-03-21T05:56:38+1000,52.05,
2025-03-14T06:04:33+1000,52.65,
2025-03-07T06:00:18+1000,54.25,
2025-02-28T05:55:21+1000,53.85,
2025-02-21T05:59:33+1000,54.1,
2025-02-21T05:57:18+1000,54.1,
2025-02-14T05:59:03+1000,54.15,
2025-02-07T05:55:58+1000,55.1,
2025-01-31T05:55:51+1000,55.75,
2025-01-25T06:08:07+1000,56.4,
2025-01-17T06:30:36+1000,56.35,
2025-01-10T07:22:00+1000,56.55,
2024-12-31T06:02:12+1000,56.8,
2024-12-30T05:53:15+1000,56.95,
2024-12-28T08:01:33+1000,57.7,
2024-12-27T07:53:12+1000,57.8,
2024-12-20T07:17:14+1000,55.65,
2024-12-15T08:07:44+1000,57.4,
2024-12-15T08:07:21+1000,57.4,
2024-12-08T08:24:21+1000,56.5,
2024-12-08T08:23:34+1000,56.5,
2024-12-02T05:58:19+1000,56.4,
2024-12-02T05:58:09+1000,58.0,
2024-12-01T11:05:53+1000,56.4,
2024-12-01T11:05:44+1000,56.4,
2024-12-01T11:05:36+1000,56.4,
2024-12-01T08:43:23+1000,56.3,
2024-11-24T10:38:47+1000,56.25,
2024-11-17T08:15:24+1000,56.55,
2024-11-14T10:58:24+1000,57.15,
2024-11-14T10:57:52+1000,57.15,
2024-11-09T11:12:47+1000,57.1,
2024-11-05T15:24:46+1000,57.25,
2024-11-05T15:24:37+1000,57.25,
2023-09-27T14:10:01+1000,60.0,
2019-11-05T06:49:39+1000,57.5,
2018-11-26T16:05:23+1000,62.0,
