date,workout,energy burned (cal)
2026-03-26T06:36:23+1000,Traditional Strength Training,270.0
2026-03-23T06:31:48+1000,Traditional Strength Training,256.0
2026-03-20T06:35:09+1000,Traditional Strength Training,191.0
2026-03-19T06:44:47+1000,Traditional Strength Training,296.0
2026-03-18T06:06:26+1000,Walking,111.0
2026-03-17T06:34:48+1000,Traditional Strength Training,221.0
2026-03-16T07:12:44+1000,Walking,78.0
2026-03-16T06:45:03+1000,Traditional Strength Training,225.0
2026-03-13T06:34:19+1000,Walking,108.0
2026-03-12T06:43:54+1000,Traditional Strength Training,237.0
2026-03-11T07:03:32+1000,Walking,72.0
2026-03-11T06:38:34+1000,Traditional Strength Training,277.0
2026-03-11T05:41:30+1000,Walking,25.0
2026-03-10T07:02:21+1000,Walking,44.0
2026-03-10T06:45:45+1000,Traditional Strength Training,317.0
2026-03-10T05:27:11+1000,Walking,54.0
2026-03-08T10:37:02+1000,Walking,204.0
2026-03-06T06:48:19+1000,Walking,59.0
2026-03-06T06:26:53+1000,Traditional Strength Training,171.0
2026-03-06T05:36:18+1000,Walking,55.0
2026-03-05T07:01:27+1000,Walking,50.0
2026-03-05T06:47:38+1000,Traditional Strength Training,307.0
2026-03-05T05:37:09+1000,Walking,23.0
2026-03-04T06:34:37+1000,Walking,116.0
2026-03-03T06:53:07+1000,Walking,44.0
2026-03-03T06:28:40+1000,Traditional Strength Training,251.0
2026-03-02T06:54:30+1000,Walking,69.0
2026-03-02T06:32:14+1000,Traditional Strength Training,236.0
2026-03-02T05:24:57+1000,Walking,26.0
2026-02-26T07:08:02+1000,Walking,43.0
2026-02-26T06:43:42+1000,Traditional Strength Training,270.0
2026-02-26T05:49:33+1000,Walking,55.0
2026-02-25T06:31:21+1000,Walking,144.0
2026-02-24T07:11:33+1000,Walking,74.0
2026-02-24T06:47:37+1000,Traditional Strength Training,294.0
2026-02-24T05:40:30+1000,Walking,57.0
2026-02-23T06:54:31+1000,Walking,53.0
2026-02-23T06:36:14+1000,Traditional Strength Training,245.0
2026-02-23T05:27:55+1000,Walking,59.0
2026-02-20T06:50:40+1000,Walking,54.0
2026-02-20T06:31:54+1000,Traditional Strength Training,232.0
2026-02-20T05:32:08+1000,Walking,60.0
2026-02-16T06:26:36+1000,Traditional Strength Training,242.0
2026-02-13T06:34:43+1000,Walking,173.0
2026-02-12T06:45:46+1000,Traditional Strength Training,291.0
2026-02-12T05:47:34+1000,Walking,37.0
2026-02-11T06:32:04+1000,Walking,221.0
2026-02-10T07:13:50+1000,Walking,75.0
2026-02-10T06:49:01+1000,Traditional Strength Training,284.0
2026-02-10T05:44:45+1000,Walking,39.0
2026-02-09T07:09:37+1000,Walking,57.0
2026-02-09T06:45:11+1000,Traditional Strength Training,234.0
2026-02-09T05:42:48+1000,Walking,59.0
2026-02-06T07:07:24+1000,Walking,66.0
2026-02-06T06:48:14+1000,Traditional Strength Training,185.0
2026-02-06T06:01:41+1000,Walking,34.0
2026-02-05T07:10:53+1000,Walking,54.0
2026-02-05T06:46:55+1000,Traditional Strength Training,248.0
